SiteCode,S0 SURVEY,S1 SURVEY,S2 SURVEY,S3 SURVEY,S4 SURVEY,S5 SURVEY,S6 SURVEY,S7 SURVEY,S8 SURVEY,,DEFAULT TRANSECT AREA - sqm,"CONFIRMATIONS, COMMENTS & HISTORY",
CCT-IND-T1,,472,498,496,448,530,500,495,,,530,,
CCT-IND-T2,,500,500,500,500,493.25,500,500,,,500,,
CCT-IND-T3,,710,711,695,671,642.5,713,679.25,,,731,,
CCT-RES-T1,,350,350,347,350,345,350,350,,,350,,
CCT-RES-T2,,450,446,447,450,442,425,450,,,450,,
CCT-RES-T3,,570,570,570,570,570,570,570,,,570,,
CCT-RES-T4,,534,540,537,522,535,540,540,,,540,,
CCT-RES-T5,,360,354,356,354,360,360,360,,,360,,
CCT-RES-T6,,460,460,460,448,460,460,450,,,460,,
CCT-RET-T1,,550,544,526,550,550,550,534,,,550,,
CCT-RET-T2,,419,440,422,422,429.5,427.5,421,,,440,,
CCT-RET-T3,,560,524,518,512,534,535,560,,,560,,
CCT-RPK-T1,,75,75,75,75,75,75,75,,,75,,
CCT-RPK-T2,,75,75,75,75,75,75,75,,,75,,
CCT-RPK-T3,,75,75,75,75,75,75,75,,,75,,
CCT-RPK-T4,,75,75,75,75,75,75,75,,,75,,
CCT-RPK-T5,,75,75,75,75,75,75,75,,,75,,
CFH-BCH-T1,312,648,666,186,249,267,256.2,259.2,,,BCH - Variable,,
CFH-BCH-T2,606,600,558,186,336,420,241.8,302.4,,,BCH - Variable,,
CFH-BCH-T3,672,531,564,222,396,648,288,366,,,BCH - Variable,,
CFH-BCH-T4,600,493.8,564,276,594,756,648,516,,,BCH - Variable,,
CFH-BCH-T5,690,498,606,486,924,684,606,480,,,BCH - Variable,,
CFH-IND-T1,420,420,420,420,413.6,414.6,420,420,,,420,,
CFH-IND-T2,430,430,430,430,430,430,430,420.1,,,430,,
CFH-IND-T3,440,440,440,440,440,440,440,440,,,440,,
CFH-MRD-T1,,,,,,300,300,300,,,300,,
CFH-MRD-T2,,,,,,300,300,300,,,300,,
CFH-MRD-T3,,,,,,300,300,300,,,300,,
CFH-MRD-T4,,,,,,300,300,300,,,300,,
CFH-MRD-T5,,,,,,300,300,300,,,300,,
CFH-MRD-T6,,,,,,300,300,300,,,300,,
CFH-RES-T1,920,920,920,920,897.5,920,920,920,,,920,,
CFH-RES-T2,800,800,800,785.6,769.8,785.4,778.6,777.7,,,800,,
CFH-RES-T3,915.5,920,920,895.6,920,920,909,893,,,920,,
CFH-RES-T4,1180,1195,1195,1156.4,1177,1178.8,1176.1,1173.7,,,1195,,
CFH-RES-T5,1100,1100,1100,1074.8,1078.4,1091,1092.3,1075.6,,,1100,,
CFH-RES-T6,1055,1055,1055,1051.8,1055,1055,1055,1055,,,1055,,
CFH-RET-T1,470,470,470,470,470,470,470,470,,,470,,
CFH-RET-T2,465,465,465,465,465,465,465,465,,,465,,
CFH-RET-T3,410,410,410,410,410,410,410,410,,,410,,
CFH-RPK-T1,105,105,105,105,105,105,105,105,,,105,,
CFH-RPK-T2,117,117,117,117,117,117,117,117,,,117,,
CFH-RPK-T3,144,147,147,147,147,144,147,147,,,146.5,,
CFH-RPK-T4,106.5,108,108,108,108,108,108,108,,,,,
CFH-RPK-T5,93,91.5,91.5,91.5,91.5,91.5,91.5,91.5,,,,,
CKS-IND-T1,,332,184,378,388,388,371,387,,,,,
CKS-IND-T2,,290,290,290,290,290,290,280.75,,,,,
CKS-IND-T3,,359,374,374,378,380,367.5,380,,,,,
CKS-RES-T1,,440,440,440,440,440,440,440,,,,,
CKS-RES-T2,,390,390,390,390,390,390,390,,,,,
CKS-RES-T3,,450,450,450,450,450,450,450,,,,,
CKS-RES-T4,,420,420,420,420,420,420,420,,,,,
CKS-RES-T5,,420,420,420,420,420,420,420,,,,,
CKS-RES-T6,,430,430,430,430,427,428,428.5,,,,,
CKS-RET-T1,,390,390,390,390,390,389,390,,,,,
CKS-RET-T2,,400,400,400,400,400,400,400,,,,,
CKS-RET-T3,,400,400,400,383,400,366,384,,,,,
CKS-RPK-T1,,75,75,75,75,75,75,75,,,,,
CKS-RPK-T2,,75,75,75,75,75,75,75,,,,,
CKS-RPK-T3,,75,75,75,75,75,75,75,,,,,
CKS-RPK-T4,,75,75,75,75,75,75,75,,,,,
CKS-RPK-T5,,75,75,75,75,75,75,75,,,,,
DUB-IND-T1,,430,430,430,430,420,430,430,,,,,
DUB-IND-T2,,502,490,486,484,485,490,427,,,,,
DUB-IND-T3,,432,432,432,432,432,432,432,,,,,
DUB-RES-T1,,340,340,340,340,340,340,340,,,,,
DUB-RES-T2,,420,420,420,420,420,420,420,,,,,
DUB-RES-T3,,430,430,430,430,430,430,430,,,,,
DUB-RES-T4,,410,410,410,410,410,410,410,,,,,
DUB-RES-T5,,340,340,340,333,330,340,340,,,,,
DUB-RES-T6,,420,417,420,420,420,420,420,,,,,
DUB-RET-T1,,615,614,615,615,615,615,615,,,,,
DUB-RET-T2,,670,667,670,670,670,670,670,,,,,
DUB-RET-T3,,745,744,745,745,743,745,745,,,,,
DUB-RPK-T1,,75,75,75,75,75,75,75,,,,,
DUB-RPK-T2,,75,75,75,75,75,75,75,,,,,
DUB-RPK-T3,,75,75,75,75,75,75,75,,,,,
DUB-RPK-T4,,75,75,75,75,75,75,75,,,,,
DUB-RPK-T5,,75,75,75,75,75,75,75,,,,,
MDB-IND-T1,465,465,465,465,465,465,465,463,,,,,
MDB-IND-T2,400,400,400,400,400,400,400,400,,,,,
MDB-IND-T3,394,394,363.15,394,394,394,394,394,,,,,
MDB-RES-T1,390,390,390,390,390,375,390,390,,,,,
MDB-RES-T2,810,810,810,810,810,801,810,810,,,,,
MDB-RES-T3,424,424,424,424,424,424,424,424,,,,,
MDB-RES-T4,780,780,NaN,780,780,735,780,750,,,,,
MDB-RES-T5,420,420,420,420,420,420,420,420,,,,,
MDB-RES-T6,750,750,750,750,750,744,750,750,,,,,
MDB-RET-T1,405,405,405,405,405,405,405,405,,,,,
MDB-RET-T2,380,380,380,380,380,373,367.5,380,,,,,
MDB-RET-T3,410,410,410,410,410,410,410,410,,,,,
MDB-RPK-T1,60,75,75,75,75,75,75,75,,,,S0 area surveyed confirmed at 60 sqm,
MDB-RPK-T2,60,75,75,75,75,75,75,75,,,,S0 area surveyed confirmed at 60 sqm,
MDB-RPK-T3,60,75,75,75,75,75,75,75,,,,S0 area surveyed confirmed at 60 sqm,
MDB-RPK-T4,60,75,75,75,75,75,75,75,,,,S0 area surveyed confirmed at 60 sqm,
MDB-RPK-T5,60,75,75,75,75,75,75,75,,,,S0 area surveyed confirmed at 60 sqm,
MUD-IND-T1,,360,360,360,360,360,360,360,,,,,
MUD-IND-T2,,410,410,410,410,410,410,410,,,,,
MUD-IND-T3,,320,NaN,320,290,308,300,311,,,,,
MUD-RES-T1,,410,410,410,410,402,410,410,,,,,
MUD-RES-T2,,430,430,430,430,430,426,430,,,,,
MUD-RES-T3,,410,410,410,410,410,410,410,,,,,
MUD-RES-T4,,430,430,430,430,426,430,430,,,,,
MUD-RES-T5,,550,550,550,550,550,550,550,,,,,
MUD-RES-T6,,430,430,430,430,430,428,430,,,,,
MUD-RET-T1,,420,420,420,420,420,420,420,,,,,
MUD-RET-T2,,430,430,430,430,430,430,430,,,,,
MUD-RET-T3,,390,390,390,390,390,390,390,,,,,
MUD-RPK-T1,,75,75,75,75,75,75,75,,,,,
MUD-RPK-T2,,75,75,75,75,75,75,75,,,,,
MUD-RPK-T3,,75,75,75,75,75,75,75,,,,,
MUD-RPK-T4,,75,75,75,75,75,75,75,,,,,
MUD-RPK-T5,,75,75,75,75,75,75,75,,,,,
NWC-BCH-T1,,,168.6,180,172.8,156,168.6,129,,,,,
NWC-BCH-T2,,,145.2,150,139.2,138,145.2,144,,,,,
NWC-BCH-T3,,,111.6,132,114,102,111.6,120,,,,,
NWC-BCH-T4,,,112.8,120,112.8,108,113.4,123,,,,,
NWC-BCH-T5,,,114,144,102.6,108,114,132,,,,,
NWC-IND-T1,,,610,610,610,610,610,610,,,,,
NWC-IND-T2,,,600,600,600,600,600,600,,,,,
NWC-IND-T3,,,600,600,600,600,600,600,,,,,
NWC-MRD-T1,,,NUP,NUP,NUP,NUP,NUP,300,,,,,
NWC-RES-T1,,,400,400,400,400,400,400,,,,,
NWC-RES-T10,,,410,410,410,410,410,410,,,,,
NWC-RES-T11,,,410,410,410,410,410,406,,,,,
NWC-RES-T12,,,410,410,410,410,410,410,,,,,
NWC-RES-T2,,,410,410,410,410,410,407,,,,,
NWC-RES-T3,,,430,430,430,430,430,430,,,,,
NWC-RES-T4,,,410,410,410,410,410,410,,,,,
NWC-RES-T5,,,410,410,410,410,410,410,,,,,
NWC-RES-T6,,,420,420,420,420,420,420,,,,,
NWC-RES-T7,,,380,380,380,380,380,380,,,,,
NWC-RES-T8,,,410,410,410,410,410,410,,,,,
NWC-RES-T9,,,430,430,430,430,430,430,,,,,
NWC-RET-T1,,,400,400,400,400,400,400,,,,,
NWC-RET-T2,,,400,400,400,400,400,400,,,,,
NWC-RET-T3,,,400,400,400,400,400,400,,,,,
NWC-RPK-T1,,,109.5,109.5,109.5,109.5,109.5,109.5,,,,,
NWC-RPK-T2,,,95.4,95.4,95.4,95.4,95.4,95.4,,,,,
NWC-RPK-T3,,,85.2,85.2,85.2,85.2,85.2,85.2,,,,,
NWC-RPK-T4,,,81,81,81,81,81,81,,,,,
NWC-RPK-T5,,,72.6,72.6,72.6,72.6,72.6,72.6,,,,,
PEN-IND-T1,,430,430,430,430,430,430,430,,,,,
PEN-IND-T2,,430,430,430,430,430,430,429,,,,,
PEN-IND-T3,,430,430,430,430,430,427,421.5,,,,,
PEN-RES-T1,,420,420,420,420,401,420,420,,,,,
PEN-RES-T2,,410,410,410,410,395,410,410,,,,,
PEN-RES-T3,,420,420,420,420,412.5,420,420,,,,,
PEN-RES-T4,,410,410,410,410,399,410,410,,,,,
PEN-RES-T5,,420,420,420,408.75,420,420,420,,,,,
PEN-RES-T6,,410,410,410,410,410,410,410,,,,,
PEN-RET-T1,,455,455,455,455,455,455,455,,,,,
PEN-RET-T2,,465,465,465,465,465,465,465,,,,,
PEN-RET-T3,,530,530,530,530,530,530,530,,,,,
PEN-RPK-T1,,75,75,75,75,75,75,75,,,,,
PEN-RPK-T2,,75,81,74,75,75,75,75,,,75,Confirmed S2 area 81 sqm (rest confirmed as 75),
PEN-RPK-T3,,75,69,75,75,75,75,75,,,,,
PEN-RPK-T4,,75,75,75,75,75,75,75,,,,,
PEN-RPK-T5,,75,75,75,75,75,75,75,,,,,
PTM-BCH-T1,252,187.2,216,294,312,140.4,318,480,,,,,
PTM-BCH-T2,246,187.2,198,246,288,132.6,312,492,,,,,
PTM-BCH-T3,258,118.2,186,252,294,94.8,282,468,,,,,
PTM-BCH-T4,198,126,180,228,306,99.6,276,444,,,,,
PTM-BCH-T5,204,126,138,240,282,85.2,252,426,,,,,
PTM-IND-T1,410,410,410,392,392,410,410,410,,,,,
PTM-IND-T2,440,440,440,430,431,440,440,431.9,,,,,
PTM-IND-T3,450,444,450,440,410.4,428.4,424.4,433.3,,,,,
PTM-RES-T1,580,580,580,580,580,580,580,580,,,,,
PTM-RES-T2,570,570,570,570,570,570,555.6,562.8,,,,,
PTM-RES-T3,430,424,430,430,430,430,430,430,,,,,
PTM-RES-T4,400,400,400,400,400,400,400,400,,,,,
PTM-RES-T5,530,530,530,530,530,530,530,530,,,,,
PTM-RES-T6,500,500,500,500,473,500,491.9,500,,,,,
PTM-RET-T1,478.87,478.87,478.87,478.87,478.87,478.87,478.87,478.87,,,,,
PTM-RET-T2,476.3,476.3,476.3,476.3,476.3,476.3,476.3,476.3,,,,,
PTM-RET-T3,436.7,436.7,436.7,436.7,436.7,436.7,436.7,436.7,,,,,
PTM-RPK-T1,68.4,68.4,68.4,68.4,68.4,68.4,87,87,,,,,
PTM-RPK-T2,90.9,90.9,90.9,90.9,90.9,90.9,96,96,,,,,
PTM-RPK-T3,103.2,76.5,76.5,76.5,103.2,76.5,105,105,,,,,
PTM-RPK-T4,129.3,102.3,102.3,102.3,135,102.3,102,102,,,,,
PTM-RPK-T5,165,124.2,124.2,124.2,148.8,124.2,88.5,88.5,,,,,
TAR-IND-T1,,423,423,423,423,423,423,423,,,,,
TAR-IND-T2,,430,430,430,430,430,430,410,,,,,
TAR-IND-T3,,435,431,435,435,435,435,435,,,,,
TAR-RES-T1,,435,435,435,435,435,435,435,,,,,
TAR-RES-T2,,415,415,415,415,415,415,415,,,,,
TAR-RES-T3,,415,415,415,415,415,415,415,,,,,
TAR-RES-T4,,410,410,404.75,404,410,410,410,,,,,
TAR-RES-T5,,478.4,485,485,485,485,485,485,,,,,
TAR-RES-T6,,440,440,440,440,440,440,440,,,,,
TAR-RET-T1,,493.7,493.7,493.7,493.7,493.7,493.7,493.7,,,,,
TAR-RET-T2,,601.3,601.3,601.3,601.3,601.3,601.3,601.3,,,,,
TAR-RET-T3,,475,475,475,475,475,475,475,,,,,
TAR-RPK-T1,,168,168,168,168,168,81,81,,,,,
TAR-RPK-T2,,159,159,159,159,159,78,78,,,,,
TAR-RPK-T3,,141,141,141,141,141,60,60,,,,,
TAR-RPK-T4,,108,108,108,108,108,108,108,,,,,
TAR-RPK-T5,,81.9,81.9,81.9,81.9,81.9,81.9,81.9,,,,,
TMW-IND-T1,,430,430,430,430,430,414.5,430,,,,,
TMW-IND-T2,,540,540,540,540,540,540,540,,,,,
TMW-IND-T3,,550,550,550,550,550,550,550,,,,,
TMW-MRD-T1,,,,,,300,300,300,,,,,
TMW-MRD-T2,,,,,,300,300,300,,,,,
TMW-MRD-T3,,,,,,300,300,300,,,,,
TMW-MRD-T4,,,,,,300,300,300,,,,,
TMW-MRD-T5,,,,,,300,300,300,,,,,
TMW-MRD-T6,,,,,,300,300,300,,,,,
TMW-RES-T1,,500,500,500,500,500,500,500,,,,,
TMW-RES-T2,,470,470,470,470,470,470,470,,,,,
TMW-RES-T3,,410,410,410,410,410,410,410,,,,,
TMW-RES-T4,,440,440,440,440,440,440,440,,,,,
TMW-RES-T5,,420,420,420,420,420,420,420,,,,,
TMW-RES-T6,,450,450,450,450,450,450,450,,,,,
TMW-RET-T1,,750,750,750,750,750,750,750,,,,,
TMW-RET-T2,,750,750,750,750,750,750,750,,,,,
TMW-RET-T3,,760,760,760,760,760,760,760,,,,,
TMW-RPK-T1,,147.9,147.9,147.9,147.9,147.9,147.9,147.9,,,,,
TMW-RPK-T2,,141.9,141.9,141.9,141.9,141.9,141.9,141.9,,,,,
TMW-RPK-T3,,156,156,156,156,156,156,156,,,,,
TMW-RPK-T4,,223.2,223.2,223.2,223.2,223.2,223.2,223.2,,,,,
TMW-RPK-T5,,147.9,147.9,147.9,147.9,147.9,147.9,147.9,,,,,
TWD-BCH-T1,,300,372,426,342,249.6,318,222,,,,,
TWD-BCH-T2,,300,300,396,318,266.4,324,264,,,,,
TWD-BCH-T3,,300,294,378,324,270,330,252,,,,,
TWD-BCH-T4,,300,300,432,354,282.6,324,252,,,,,
TWD-BCH-T5,,300,258,438,408,306,348,258,,,,,
TWD-IND-T1,,400,400,400,400,400,400,400,,,,,
TWD-IND-T2,,590,590,590,579.2,590,581.9,573,,,,,
TWD-IND-T3,,470,470,470,470,463.7,461,462.1,,,,,
TWD-MRD-T1,,,,,,300,300,300,,,,,
TWD-MRD-T2,,,,,,300,300,300,,,,,
TWD-MRD-T3,,,,,,300,300,300,,,,,
TWD-MRD-T4,,,,,,300,300,300,,,,,
TWD-MRD-T5,,,,,,300,300,300,,,,,
TWD-MRD-T6,,,,,,300,296,300,,,,,
TWD-RES-T1,,812,820,774.8,796,807.4,811.9,803.8,,,,,
TWD-RES-T2,,820,820,820,820,820,820,800.2,,,,,
TWD-RES-T3,,660,660,653.2,660,660,660,,,,,,
TWD-RES-T4,,736.5,737.5,737.5,737.5,737.5,737.5,702.5,,,,,
TWD-RES-T5,,544,550,550,550,550,541.9,550,,,,,
TWD-RES-T6,,510,510,510,510,510,510,510,,,,,
TWD-RET-T1,,558.5,558.5,558.5,558.5,558.5,558.5,558.5,,,,,
TWD-RET-T2,,439.2,439.2,439.2,439.2,439.2,439.2,439.2,,,,,
TWD-RET-T3,,478.6,478.6,478.6,478.6,478.6,478.6,478.6,,,,,
TWD-RPK-T1,,94.2,94.2,66,87,94.2,81.16,94.2,,,,,
TWD-RPK-T2,,95.7,95.7,78,96,95.7,82.96,95.7,,,,,
TWD-RPK-T3,,105,105,45,105,105,91,105,,,,,
TWD-RPK-T4,,103.2,103.2,103.2,102,103.2,88.4,103.2,,,,,
TWD-RPK-T5,,88.5,88.5,88.5,88.5,88.5,76.7,88.5,,,,,
WAG-IND-T1,,675,675,675,675,665,675,675,,,,,
WAG-IND-T2,,440,440,440,440,434,440,436.25,,,,,
WAG-IND-T3,,600,600,600,600,600,589.5,600,,,,,
WAG-RES-T1,,670,NaN,670,670,670,670,670,,,,,
WAG-RES-T2,,670,670,670,670,670,670,670,,,,,
WAG-RES-T3,,640,640,640,640,636,640,640,,,,,
WAG-RES-T4,,650,650,650,650,649,650,650,,,,,
WAG-RES-T5,,630,630,630,630,630,630,630,,,,,
WAG-RES-T6,,640,640,640,640,640,640,640,,,,,
WAG-RET-T1,,830,830,830,830,825,830,830,,,,,
WAG-RET-T2,,1050,1050,1050,1050,1050,1050,1048,,,,,
WAG-RET-T3,,980,980,980,980,980,980,980,,,,,
WAG-RPK-T1,,75,75,75,75,75,75,75,,,,,
WAG-RPK-T2,,75,75,75,75,75,75,75,,,,,
WAG-RPK-T3,,75,75,75,75,75,75,75,,,,,
WAG-RPK-T4,,75,75,75,75,75,75,75,,,,,
WAG-RPK-T5,,75,75,75,75,75,75,75,,,,,
